name,total_pop,white_alone,black_alone,hispanic_latino,state,county,tract,pct_white,pct_black,pct_hispanic,GEOID
Census Tract 1610; Cook County; Illinois,1986,1348,35,440,17,031,161000,67.9,1.8,22.2,17031161000
Census Tract 1611; Cook County; Illinois,2024,1368,129,363,17,031,161100,67.6,6.4,17.9,17031161100
Census Tract 1612; Cook County; Illinois,2873,800,85,1614,17,031,161200,27.8,3.0,56.2,17031161200
Census Tract 1613; Cook County; Illinois,3769,1314,25,2172,17,031,161300,34.9,0.7,57.6,17031161300
Census Tract 1701; Cook County; Illinois,2030,1678,79,196,17,031,170100,82.7,3.9,9.7,17031170100
Census Tract 1702; Cook County; Illinois,3752,1888,4,1726,17,031,170200,50.3,0.1,46.0,17031170200
Census Tract 1703; Cook County; Illinois,4981,2753,0,1739,17,031,170300,55.3,0.0,34.9,17031170300
Census Tract 1704; Cook County; Illinois,3989,2281,201,1191,17,031,170400,57.2,5.0,29.9,17031170400
Census Tract 1705; Cook County; Illinois,5161,3081,85,1462,17,031,170500,59.7,1.6,28.3,17031170500
Census Tract 1706; Cook County; Illinois,2490,1665,33,556,17,031,170600,66.9,1.3,22.3,17031170600
Census Tract 1707; Cook County; Illinois,3260,2069,12,1038,17,031,170700,63.5,0.4,31.8,17031170700
Census Tract 1708; Cook County; Illinois,4009,2280,65,1365,17,031,170800,56.9,1.6,34.0,17031170800
Census Tract 1709; Cook County; Illinois,1970,929,0,1020,17,031,170900,47.2,0.0,51.8,17031170900
Census Tract 1710; Cook County; Illinois,6829,3368,389,2296,17,031,171000,49.3,5.7,33.6,17031171000
Census Tract 1711; Cook County; Illinois,4103,1616,122,2031,17,031,171100,39.4,3.0,49.5,17031171100
Census Tract 1801; Cook County; Illinois,6544,2429,350,3469,17,031,180100,37.1,5.3,53.0,17031180100
Census Tract 1901; Cook County; Illinois,2338,164,68,2052,17,031,190100,7.0,2.9,87.8,17031190100
Census Tract 1902; Cook County; Illinois,5858,794,325,4415,17,031,190200,13.6,5.5,75.4,17031190200
Census Tract 1903; Cook County; Illinois,5289,1540,178,3223,17,031,190300,29.1,3.4,60.9,17031190300
Census Tract 1904.01; Cook County; Illinois,4119,940,201,2608,17,031,190401,22.8,4.9,63.3,17031190401
Census Tract 1904.02; Cook County; Illinois,4896,1315,31,3331,17,031,190402,26.9,0.6,68.0,17031190402
Census Tract 1906.01; Cook County; Illinois,3986,576,74,3336,17,031,190601,14.5,1.9,83.7,17031190601
Census Tract 1906.02; Cook County; Illinois,5554,1055,89,4269,17,031,190602,19.0,1.6,76.9,17031190602
Census Tract 1907.01; Cook County; Illinois,2835,636,54,2036,17,031,190701,22.4,1.9,71.8,17031190701
Census Tract 1907.02; Cook County; Illinois,4707,495,323,3889,17,031,190702,10.5,6.9,82.6,17031190702
Census Tract 1908; Cook County; Illinois,6049,755,264,4801,17,031,190800,12.5,4.4,79.4,17031190800
Census Tract 1909; Cook County; Illinois,1869,222,152,1387,17,031,190900,11.9,8.1,74.2,17031190900
Census Tract 1910; Cook County; Illinois,2556,128,50,2373,17,031,191000,5.0,2.0,92.8,17031191000
Census Tract 1911; Cook County; Illinois,6651,482,239,5573,17,031,191100,7.2,3.6,83.8,17031191100
